Index	Name	IsConst	Min	Max	Unique values	Unique values in characters
4	CODE_REQ_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
5	XRAY_READY_XB1.190_XR	True			[1]	['\x01']
6	SPEED_OK_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
7	SPARE_I80.4_XB1.190_XR	True			[1]	['\x01']
8	POWER_ON_XB1.190_XR	True			[1]	['\x01']
9	REPAIR_SWITCH_XB1.190_XR	True			[0]	['\x00']
10	SERVICE_MODE_XB1.190_XR	True			[0]	['\x00']
11	TRANSIT_MODE_XB1.190_XR	True			[0]	['\x00']
12	NO_SCAN_ACT_XB1.190_XR	True			[0]	['\x00']
13	LS3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
14	SPARE_I81.3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
15	ES_RESET_XB1.190_XR	True			[0]	['\x00']
16	SPARE_I81.5_XB1.190_XR	True			[0]	['\x00']
17	SPARE_I81.6_XB1.190_XR	True			[0]	['\x00']
18	SPARE_I81.7_XB1.190_XR	True			[0]	['\x00']
19	LS0_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
20	LS1_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
21	SPARE_I82.2_XB1.190_XR	True			[0]	['\x00']
22	SPARE_I82.3_XB1.190_XR	True			[0]	['\x00']
23	LS4_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
24	SPARE_I82.5_XB1.190_XR	True			[0]	['\x00']
25	SPARE_I82.6_XB1.190_XR	True			[0]	['\x00']
26	XB1.190_ESB11-15	True			[1]	['\x01']
27	IB 512	False	0	113	[0, 16, 17, 113, 33]	['\x00', '\x10', '\x11', 'q', '!']
28	IB 513	True			[0]	['\x00']
29	IB 514	False	0	18	[0, 16, 18]	['\x00', '\x10', '\x12']
30	IB 515	False	0	48	[48, 0]	['0', '\x00']
31	IB 516	False	48	57	[53, 48, 57]	['5', '0', '9']
32	IB 517	False	53	57	[57, 53]	['9', '5']
33	IB 518	False	48	53	[48, 53]	['0', '5']
34	IB 519	False	49	50	[49, 50]	['1', '2']
35	IB 520	False	53	57	[54, 53, 57]	['6', '5', '9']
36	IB 521	False	52	55	[52, 55, 53]	['4', '7', '5']
37	IB 522	False	49	57	[57, 52, 49]	['9', '4', '1']
38	IB 523	False	49	56	[49, 56, 53]	['1', '8', '5']
39	IB 524	False	50	55	[51, 55, 50]	['3', '7', '2']
40	IB 525	True			[32]	[' ']
41	IB 526	True			[32]	[' ']
42	IB 527	False	72	78	[78, 72]	['N', 'H']
43	IB 528	True			[32]	[' ']
44	IB 529	True			[49]	['1']
45	IB 530	False	65	82	[82, 65]	['R', 'A']
46	IB 531	True			[50]	['2']
47	QB 512	False	0	33	[33, 17, 0, 32, 16]	['!', '\x11', '\x00', ' ', '\x10']
48	QB 513	True			[0]	['\x00']
49	QB 514	False	0	14	[0, 14]	['\x00', '\x0e']
50	QB 515	False	0	48	[0, 48]	['\x00', '0']
51	QB 516	False	0	57	[0, 48, 57]	['\x00', '0', '9']
52	QB 517	False	0	53	[0, 53]	['\x00', '5']
53	QB 518	False	0	53	[0, 53, 48]	['\x00', '5', '0']
54	QB 519	False	0	50	[0, 50]	['\x00', '2']
55	QB 520	False	0	57	[0, 53, 57]	['\x00', '5', '9']
56	QB 521	False	0	55	[0, 55, 53]	['\x00', '7', '5']
57	QB 522	False	0	52	[0, 52, 49]	['\x00', '4', '1']
58	QB 523	False	0	56	[0, 56, 53]	['\x00', '8', '5']
59	QB 524	False	0	55	[0, 55, 50]	['\x00', '7', '2']
60	QB 525	False	0	32	[0, 32]	['\x00', ' ']
61	SEND_BUFFER[2]	False	48	57	[53, 48, 57]	['5', '0', '9']
62	SEND_BUFFER[3]	False	53	57	[57, 53]	['9', '5']
63	SEND_BUFFER[4]	False	48	53	[48, 53]	['0', '5']
64	SEND_BUFFER[5]	False	49	50	[49, 50]	['1', '2']
65	SEND_BUFFER[6]	False	53	57	[54, 53, 57]	['6', '5', '9']
66	SEND_BUFFER[7]	False	52	55	[52, 55, 53]	['4', '7', '5']
67	SEND_BUFFER[8]	False	49	57	[57, 52, 49]	['9', '4', '1']
68	SEND_BUFFER[9]	False	49	56	[49, 56, 53]	['1', '8', '5']
69	SEND_BUFFER[10]	False	50	55	[51, 55, 50]	['3', '7', '2']
70	SEND_BUFFER[11]	True			[32]	[' ']
71	SEND_BUFFER[12]	True			[32]	[' ']
72	SEND_BUFFER[13]	False	72	78	[78, 72]	['N', 'H']
73	SEND_BUFFER[14]	True			[32]	[' ']
74	RCV_BUFFER.SCR_RES.ID_AC[1]	False	32	48	[32, 48]	[' ', '0']
75	RCV_BUFFER.SCR_RES.ID_AC[2]	False	32	57	[32, 48, 57]	[' ', '0', '9']
76	RCV_BUFFER.SCR_RES.ID_AC[3]	False	32	53	[32, 53]	[' ', '5']
77	RCV_BUFFER.SCR_RES.ID_AC[4]	False	32	48	[32, 48]	[' ', '0']
78	RCV_BUFFER.SCR_RES.ID_AC[5]	False	32	50	[32, 50]	[' ', '2']
79	RCV_BUFFER.SCR_RES.ID_AC[6]	False	32	57	[32, 57]	[' ', '9']
80	RCV_BUFFER.SCR_RES.ID_AC[7]	False	32	53	[32, 53]	[' ', '5']
81	RCV_BUFFER.SCR_RES.ID_AC[8]	False	32	49	[32, 49]	[' ', '1']
82	RCV_BUFFER.SCR_RES.ID_AC[9]	False	32	53	[32, 53]	[' ', '5']
83	RCV_BUFFER.SCR_RES.ID_AC[10]	False	32	50	[32, 50]	[' ', '2']
84	RCV_BUFFER.SCR_RES.ID_AC[11]	True			[32]	[' ']
85	RCV_BUFFER.SCR_RES.ID_AC[12]	True			[32]	[' ']
86	RCV_BUFFER.SCR_RES.HIGH_RISK_C	False	32	72	[32, 72]	[' ', 'H']
87	RCV_BUFFER.SCR_RES.SPARE_1_C	True			[32]	[' ']
88	RCV_BUFFER.SCR_RES.RESULT_AC[1]	False	32	49	[32, 49]	[' ', '1']
89	RCV_BUFFER.SCR_RES.RESULT_AC[2]	False	32	65	[32, 65]	[' ', 'A']
90	RCV_BUFFER.SCR_RES.RESULT_AC[3]	True			[32]	[' ']
91	RCV_BUFFER.SCR_RES.RESULT_AC[4]	True			[32]	[' ']
92	RCV_BUFFER.SCR_RES.RESULT_AC[5]	True			[32]	[' ']
93	RCV_BUFFER.SCR_RES.RESULT_AC[6]	True			[32]	[' ']
94	SEND_BUFFER[1]	True			[48]	['0']
95	IB 532	True			[65]	['A']
96	QB 526	False	0	32	[0, 32]	['\x00', ' ']
97	QB 527	False	0	72	[0, 72]	['\x00', 'H']
98	QB 528	False	0	32	[0, 32]	['\x00', ' ']
99	Trigger	True			[0]	['\x00']
