Relativzeit;Datum;Absolutzeit;MACHINE_OK_XB1.190_XR;CODE_REQ_XB1.190_XR;XRAY_READY_XB1.190_XR;SPEED_OK_XB1.190_XR;SPARE_I80.4_XB1.190_XR;POWER_ON_XB1.190_XR;REPAIR_SWITCH_XB1.190_XR;SERVICE_MODE_XB1.190_XR;TRANSIT_MODE_XB1.190_XR;NO_SCAN_ACT_XB1.190_XR;LS3_XB1.190_XR;SPARE_I81.3_XB1.190_XR;ES_RESET_XB1.190_XR;SPARE_I81.5_XB1.190_XR;SPARE_I81.6_XB1.190_XR;SPARE_I81.7_XB1.190_XR;LS0_XB1.190_XR;LS1_XB1.190_XR;SPARE_I82.2_XB1.190_XR;SPARE_I82.3_XB1.190_XR;LS4_XB1.190_XR;SPARE_I82.5_XB1.190_XR;SPARE_I82.6_XB1.190_XR;XB1.190_ESB11-15;IB 512;IB 513;IB 514;IB 515;IB 516;IB 517;IB 518;IB 519;IB 520;IB 521;IB 522;IB 523;IB 524;IB 525;IB 526;IB 527;IB 528;IB 529;IB 530;IB 531;QB 512;QB 513;QB 514;QB 515;QB 516;QB 517;QB 518;QB 519;QB 520;QB 521;QB 522;QB 523;QB 524;QB 525;SEND_BUFFER[2];SEND_BUFFER[3];SEND_BUFFER[4];SEND_BUFFER[5];SEND_BUFFER[6];SEND_BUFFER[7];SEND_BUFFER[8];SEND_BUFFER[9];SEND_BUFFER[10];SEND_BUFFER[11];SEND_BUFFER[12];SEND_BUFFER[13];SEND_BUFFER[14];RCV_BUFFER.SCR_RES.ID_AC[1];RCV_BUFFER.SCR_RES.ID_AC[2];RCV_BUFFER.SCR_RES.ID_AC[3];RCV_BUFFER.SCR_RES.ID_AC[4];RCV_BUFFER.SCR_RES.ID_AC[5];RCV_BUFFER.SCR_RES.ID_AC[6];RCV_BUFFER.SCR_RES.ID_AC[7];RCV_BUFFER.SCR_RES.ID_AC[8];RCV_BUFFER.SCR_RES.ID_AC[9];RCV_BUFFER.SCR_RES.ID_AC[10];RCV_BUFFER.SCR_RES.ID_AC[11];RCV_BUFFER.SCR_RES.ID_AC[12];RCV_BUFFER.SCR_RES.HIGH_RISK_C;RCV_BUFFER.SCR_RES.SPARE_1_C;RCV_BUFFER.SCR_RES.RESULT_AC[1];RCV_BUFFER.SCR_RES.RESULT_AC[2];RCV_BUFFER.SCR_RES.RESULT_AC[3];RCV_BUFFER.SCR_RES.RESULT_AC[4];RCV_BUFFER.SCR_RES.RESULT_AC[5];RCV_BUFFER.SCR_RES.RESULT_AC[6];SEND_BUFFER[1];IB 532;QB 526;QB 527;QB 528;Trigger;Fehler
77;25.03.2020;16:10:14.077;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3601053;25.03.2020;17:10:15.053;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3605744;25.03.2020;17:10:19.744;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3612432;25.03.2020;17:10:26.432;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3612842;25.03.2020;17:10:26.842;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3612956;25.03.2020;17:10:26.956;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3614217;25.03.2020;17:10:28.217;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3614356;25.03.2020;17:10:28.356;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3614894;25.03.2020;17:10:28.894;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;57;53;48;50;57;53;49;53;50;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
3614928;25.03.2020;17:10:28.928;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;53;48;50;57;53;49;53;50;32;32;72;32;49;65;50;33;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;48;49;54;53;49;48;51;32;32;72;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;48;65;0;0;0;0;0
