Index	Name	IsConst	Min	Max	Unique values	Unique values in characters
4	CODE_REQ_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
5	XRAY_READY_XB1.190_XR	False	0	1	[1, 0]	['\x01', '\x00']
6	SPEED_OK_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
7	SPARE_I80.4_XB1.190_XR	True			[1]	['\x01']
8	POWER_ON_XB1.190_XR	True			[1]	['\x01']
9	REPAIR_SWITCH_XB1.190_XR	True			[0]	['\x00']
10	SERVICE_MODE_XB1.190_XR	True			[0]	['\x00']
11	TRANSIT_MODE_XB1.190_XR	True			[0]	['\x00']
12	NO_SCAN_ACT_XB1.190_XR	True			[0]	['\x00']
13	LS3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
14	SPARE_I81.3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
15	ES_RESET_XB1.190_XR	True			[0]	['\x00']
16	SPARE_I81.5_XB1.190_XR	True			[0]	['\x00']
17	SPARE_I81.6_XB1.190_XR	True			[0]	['\x00']
18	SPARE_I81.7_XB1.190_XR	True			[0]	['\x00']
19	LS0_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
20	LS1_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
21	SPARE_I82.2_XB1.190_XR	True			[0]	['\x00']
22	SPARE_I82.3_XB1.190_XR	True			[0]	['\x00']
23	LS4_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
24	SPARE_I82.5_XB1.190_XR	True			[0]	['\x00']
25	SPARE_I82.6_XB1.190_XR	True			[0]	['\x00']
26	XB1.190_ESB11-15	True			[1]	['\x01']
27	IB 512	False	0	113	[0, 16, 17, 113, 33]	['\x00', '\x10', '\x11', 'q', '!']
28	IB 513	True			[0]	['\x00']
29	IB 514	False	0	18	[0, 1, 18, 16]	['\x00', '\x01', '\x12', '\x10']
30	IB 515	False	0	68	[48, 0, 68, 52]	['0', '\x00', 'D', '4']
31	IB 516	False	48	57	[57, 53, 48, 52, 56, 49, 54]	['9', '5', '0', '4', '8', '1', '6']
32	IB 517	False	48	57	[53, 57, 48, 50, 55, 49]	['5', '9', '0', '2', '7', '1']
33	IB 518	False	48	57	[48, 53, 57, 55, 52, 56]	['0', '5', '9', '7', '4', '8']
34	IB 519	False	48	57	[50, 49, 48, 57, 51, 53, 52, 54, 56]	['2', '1', '0', '9', '3', '5', '4', '6', '8']
35	IB 520	False	48	57	[57, 54, 49, 55, 53, 52, 50, 51, 48, 56]	['9', '6', '1', '7', '5', '4', '2', '3', '0', '8']
36	IB 521	False	48	57	[53, 48, 57, 55, 54, 51, 50, 56, 52]	['5', '0', '9', '7', '6', '3', '2', '8', '4']
37	IB 522	False	48	57	[49, 54, 53, 52, 51, 55, 56, 57, 48, 50]	['1', '6', '5', '4', '3', '7', '8', '9', '0', '2']
38	IB 523	False	48	57	[53, 48, 50, 55, 51, 52, 56, 57, 49, 54]	['5', '0', '2', '7', '3', '4', '8', '9', '1', '6']
39	IB 524	False	48	57	[50, 51, 56, 55, 52, 49, 53, 54, 57, 48]	['2', '3', '8', '7', '4', '1', '5', '6', '9', '0']
40	IB 525	True			[32]	[' ']
41	IB 526	True			[32]	[' ']
42	IB 527	False	72	78	[72, 78]	['H', 'N']
43	IB 528	True			[32]	[' ']
44	IB 529	True			[49]	['1']
45	IB 530	False	65	82	[65, 82]	['A', 'R']
46	IB 531	True			[50]	['2']
47	QB 512	False	0	33	[33, 16, 17, 0, 32]	['!', '\x10', '\x11', '\x00', ' ']
48	QB 513	True			[0]	['\x00']
49	QB 514	False	0	14	[0, 14]	['\x00', '\x0e']
50	QB 515	False	0	68	[0, 48, 68, 52]	['\x00', '0', 'D', '4']
51	QB 516	False	0	57	[0, 57, 53, 48, 52, 56, 49, 54]	['\x00', '9', '5', '0', '4', '8', '1', '6']
52	QB 517	False	0	57	[0, 53, 57, 48, 50, 55, 49]	['\x00', '5', '9', '0', '2', '7', '1']
53	QB 518	False	0	57	[0, 48, 53, 57, 55, 52, 56]	['\x00', '0', '5', '9', '7', '4', '8']
54	QB 519	False	0	57	[0, 50, 49, 48, 57, 51, 53, 52, 54, 56]	['\x00', '2', '1', '0', '9', '3', '5', '4', '6', '8']
55	QB 520	False	0	57	[0, 57, 54, 49, 55, 53, 52, 50, 51, 48, 56]	['\x00', '9', '6', '1', '7', '5', '4', '2', '3', '0', '8']
56	QB 521	False	0	57	[0, 53, 48, 57, 55, 54, 51, 50, 56, 52]	['\x00', '5', '0', '9', '7', '6', '3', '2', '8', '4']
57	QB 522	False	0	57	[0, 49, 54, 53, 52, 51, 55, 56, 57, 48, 50]	['\x00', '1', '6', '5', '4', '3', '7', '8', '9', '0', '2']
58	QB 523	False	0	57	[0, 53, 48, 50, 55, 51, 52, 56, 57, 49, 54]	['\x00', '5', '0', '2', '7', '3', '4', '8', '9', '1', '6']
59	QB 524	False	0	57	[0, 50, 51, 56, 55, 52, 49, 53, 54, 57, 48]	['\x00', '2', '3', '8', '7', '4', '1', '5', '6', '9', '0']
60	QB 525	False	0	32	[0, 32]	['\x00', ' ']
61	SEND_BUFFER[2]	False	48	57	[57, 53, 48, 52, 56, 49, 54]	['9', '5', '0', '4', '8', '1', '6']
62	SEND_BUFFER[3]	False	48	57	[53, 57, 48, 50, 55, 49]	['5', '9', '0', '2', '7', '1']
63	SEND_BUFFER[4]	False	48	57	[48, 53, 57, 55, 52, 56]	['0', '5', '9', '7', '4', '8']
64	SEND_BUFFER[5]	False	48	57	[50, 49, 48, 57, 51, 53, 52, 54, 56]	['2', '1', '0', '9', '3', '5', '4', '6', '8']
65	SEND_BUFFER[6]	False	48	57	[57, 54, 49, 55, 53, 52, 50, 51, 48, 56]	['9', '6', '1', '7', '5', '4', '2', '3', '0', '8']
66	SEND_BUFFER[7]	False	48	57	[53, 48, 57, 55, 54, 51, 50, 56, 52]	['5', '0', '9', '7', '6', '3', '2', '8', '4']
67	SEND_BUFFER[8]	False	48	57	[49, 54, 53, 52, 51, 55, 56, 57, 48, 50]	['1', '6', '5', '4', '3', '7', '8', '9', '0', '2']
68	SEND_BUFFER[9]	False	48	57	[53, 48, 50, 55, 51, 52, 56, 57, 49, 54]	['5', '0', '2', '7', '3', '4', '8', '9', '1', '6']
69	SEND_BUFFER[10]	False	48	57	[50, 51, 56, 55, 52, 49, 53, 54, 57, 48]	['2', '3', '8', '7', '4', '1', '5', '6', '9', '0']
70	SEND_BUFFER[11]	True			[32]	[' ']
71	SEND_BUFFER[12]	True			[32]	[' ']
72	SEND_BUFFER[13]	False	72	78	[72, 78]	['H', 'N']
73	SEND_BUFFER[14]	True			[32]	[' ']
74	RCV_BUFFER.SCR_RES.ID_AC[1]	False	32	68	[32, 48, 68, 52]	[' ', '0', 'D', '4']
75	RCV_BUFFER.SCR_RES.ID_AC[2]	False	32	57	[32, 53, 48, 52, 49, 57, 54]	[' ', '5', '0', '4', '1', '9', '6']
76	RCV_BUFFER.SCR_RES.ID_AC[3]	False	32	57	[32, 57, 48, 50, 53, 55]	[' ', '9', '0', '2', '5', '7']
77	RCV_BUFFER.SCR_RES.ID_AC[4]	False	32	57	[32, 48, 53, 57, 55, 52, 56]	[' ', '0', '5', '9', '7', '4', '8']
78	RCV_BUFFER.SCR_RES.ID_AC[5]	False	32	57	[32, 49, 48, 57, 51, 53, 52, 54]	[' ', '1', '0', '9', '3', '5', '4', '6']
79	RCV_BUFFER.SCR_RES.ID_AC[6]	False	32	57	[32, 54, 49, 55, 53, 52, 50, 51, 57, 48, 56]	[' ', '6', '1', '7', '5', '4', '2', '3', '9', '0', '8']
80	RCV_BUFFER.SCR_RES.ID_AC[7]	False	32	57	[32, 53, 48, 57, 55, 54, 51, 50, 56, 52]	[' ', '5', '0', '9', '7', '6', '3', '2', '8', '4']
