Relativzeit;Datum;Absolutzeit;MACHINE_OK_XB1.190_XR;CODE_REQ_XB1.190_XR;XRAY_READY_XB1.190_XR;SPEED_OK_XB1.190_XR;SPARE_I80.4_XB1.190_XR;POWER_ON_XB1.190_XR;REPAIR_SWITCH_XB1.190_XR;SERVICE_MODE_XB1.190_XR;TRANSIT_MODE_XB1.190_XR;NO_SCAN_ACT_XB1.190_XR;LS3_XB1.190_XR;SPARE_I81.3_XB1.190_XR;ES_RESET_XB1.190_XR;SPARE_I81.5_XB1.190_XR;SPARE_I81.6_XB1.190_XR;SPARE_I81.7_XB1.190_XR;LS0_XB1.190_XR;LS1_XB1.190_XR;SPARE_I82.2_XB1.190_XR;SPARE_I82.3_XB1.190_XR;LS4_XB1.190_XR;SPARE_I82.5_XB1.190_XR;SPARE_I82.6_XB1.190_XR;XB1.190_ESB11-15;IB 512;IB 513;IB 514;IB 515;IB 516;IB 517;IB 518;IB 519;IB 520;IB 521;IB 522;IB 523;IB 524;IB 527;IB 530;QB 512;QB 514;QB 515;QB 516;RCV_BUFFER.SCR_RES.ID_AC[1];RCV_BUFFER.SCR_RES.ID_AC[2];RCV_BUFFER.SCR_RES.ID_AC[3];RCV_BUFFER.SCR_RES.ID_AC[4];RCV_BUFFER.SCR_RES.ID_AC[5];RCV_BUFFER.SCR_RES.ID_AC[6];RCV_BUFFER.SCR_RES.ID_AC[7];RCV_BUFFER.SCR_RES.ID_AC[8];RCV_BUFFER.SCR_RES.ID_AC[9];RCV_BUFFER.SCR_RES.ID_AC[10];RCV_BUFFER.SCR_RES.ID_AC[11];RCV_BUFFER.SCR_RES.ID_AC[12];RCV_BUFFER.SCR_RES.HIGH_RISK_C;RCV_BUFFER.SCR_RES.SPARE_1_C;RCV_BUFFER.SCR_RES.RESULT_AC[1];RCV_BUFFER.SCR_RES.RESULT_AC[2];RCV_BUFFER.SCR_RES.RESULT_AC[3];RCV_BUFFER.SCR_RES.RESULT_AC[4];IB 532;DI_RCV.State;DI_RCV.InSequence;DI_RCV.OutRequest;DI_RCV.OutSequence;DI_RCV.InBuffer[1];DI_RCV.InBuffer[2];DI_RCV.InBuffer[3];DI_RCV.InBuffer[0];DI_RCV.InRequest;DI_RCV.RecieveLength;DI_RCV.CurrentLength;DI_SND.State;DI_SND.InBuffer0;DI_SND.InBuffer1;DI_SND.InBuffer2;DI_SND.InBuffer3;DI_SND.OutBuffer0;DI_SND.OutBuffer1;DI_SND.OutBuffer2;DI_SND.OutBuffer3;DI_RCV.Rack;DI_RCV.Slot;DI_RCV.SubAddr;DI_SND.InRequest;DI_SND.InSequence;DI_SND.OutRequest;DI_SND.OutSequence;DI_SND.RemainingLength;DI_SND.CurrentLength;DI_SND.LastSegmentLength;DI_SND.Rack;DI_SND.Slot;DI_SND.SubAddr;Trigger;Fehler
71;06.04.2020;12:45:22.071;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1449757;06.04.2020;13:09:31.757;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1454465;06.04.2020;13:09:36.465;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1461098;06.04.2020;13:09:43.098;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1461664;06.04.2020;13:09:43.664;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1461768;06.04.2020;13:09:43.768;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1463009;06.04.2020;13:09:45.009;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1463244;06.04.2020;13:09:45.244;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;0;0;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
1463695;06.04.2020;13:09:45.695;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;0;113;0;0;48;0;0;14;48;0;0;0;0;0;2;0;14;14;14;0;0;0;0;0
1463728;06.04.2020;13:09:45.728;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;48;57;57;57;57;57;57;57;57;57;72;65;33;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;0;32;0;0;0;48;0;0;18;18;2;0;0;0;48;16;0;14;48;0;0;0;16;0;16;1;0;14;14;0;0;0;0;0
1463761;06.04.2020;13:09:45.761;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;16;0;0;0;57;57;57;57;57;57;57;57;57;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;1;32;0;0;0;0;16;16;18;18;4;16;0;0;0;17;0;14;48;0;0;0;16;1;16;1;0;14;14;0;0;0;0;0
1463795;06.04.2020;13:09:45.795;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;0;0;0;57;57;57;57;57;57;57;57;57;72;65;17;14;48;49;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;84;1;1;32;0;0;0;0;17;112;18;18;5;17;0;0;0;17;0;14;48;0;0;0;112;1;0;0;0;14;14;0;0;0;0;0
