"??????????  ;1111111111  00", 
"??????????  ;1111111112  00", 
"??????????  ;1111111113  00", 
"??????????  ;1111111114  00", 
"??????????  ;1111111115  00", 
"??????????  ;1111111116  00", 
"??????????  ;1111111117  00", 
"??????????  ;1111111118  00", 
"??????????  ;1111111119  00", 
"??????????  ;1111111120  00", 
"??????????  ;1111111121  00", 
"??????????  ;1111111122  00", 
"??????????  ;1111111123  00", 
"??????????  ;1111111124  00", 
"??????????  ;1111111125  00", 
"??????????  ;1111111126  00", 
"??????????  ;1111111127  00", 
"??????????  ;1111111128  00", 
"??????????  ;1111111129  00", 
"??????????  ;1111111130  00", 
"??????????  ;1111111131  00", 
"??????????  ;1111111132  00", 
"??????????  ;1111111133  00", 
"??????????  ;1111111134  00", 
"??????????  ;1111111135  00", 
"??????????  ;1111111136  00", 
"??????????  ;1111111137  00", 
"??????????  ;1111111138  00", 
"??????????  ;1111111139  00", 
"??????????  ;1111111140  00", 
"??????????  ;1111111141  00", 
"??????????  ;1111111142  00", 
"??????????  ;1111111143  00", 
"??????????  ;1111111144  00", 
"??????????  ;1111111145  00", 
"??????????  ;1111111146  00", 
"??????????  ;1111111147  00", 
"??????????  ;1111111148  00", 
"??????????  ;1111111149  00", 
"??????????  ;1111111150  00", 
"??????????  ;1111111151  00", 
"??????????  ;1111111152  00", 
"??????????  ;1111111153  00", 
"??????????  ;1111111154  00", 
"??????????  ;1111111155  00", 
"??????????  ;1111111156  00", 
"??????????  ;1111111157  00", 
"??????????  ;1111111158  00", 
"??????????  ;1111111159  00", 
"??????????  ;1111111160  00", 
"??????????  ;1111111161  00", 
"??????????  ;1111111162  00", 
"??????????  ;1111111163  00", 
"??????????  ;1111111164  00", 
"??????????  ;1111111165  00", 
"??????????  ;1111111166  00", 
"??????????  ;1111111167  00", 
"??????????  ;1111111168  00", 
"??????????  ;1111111169  00", 
"??????????  ;1111111170  00", 
"??????????  ;1111111171  00", 
"??????????  ;1111111172  00", 
"??????????  ;1111111173  00", 
"??????????  ;1111111174  00", 
"??????????  ;1111111175  00", 
"??????????  ;1111111176  00", 
"??????????  ;1111111177  00", 
"??????????  ;1111111178  00", 
"??????????  ;1111111179  00", 
"??????????  ;1111111180  00", 
"??????????  ;1111111181  00", 
"??????????  ;1111111182  00", 
"??????????  ;1111111183  00", 
"??????????  ;1111111184  00", 
"??????????  ;1111111185  00", 
"??????????  ;1111111186  00", 
"??????????  ;1111111187  00", 
"??????????  ;1111111188  00", 
"??????????  ;1111111189  00", 
"??????????  ;1111111190  00", 
"??????????  ;1111111191  00", 
"??????????  ;1111111192  00", 
"??????????  ;1111111193  00", 
"??????????  ;1111111194  00", 
"??????????  ;1111111195  00", 
"??????????  ;1111111196  00", 
"??????????  ;1111111197  00", 
"??????????  ;1111111198  00", 
"??????????  ;1111111199  00", 
"??????????  ;1111111200  00", 
"??????????  ;1111111201  00", 
"??????????  ;1111111202  00", 
"??????????  ;1111111203  00", 
"??????????  ;1111111204  00", 
"??????????  ;1111111205  00", 
"??????????  ;1111111206  00", 
"??????????  ;1111111207  00", 
"??????????  ;1111111208  00", 
"??????????  ;1111111209  00", 
"??????????  ;1111111210  00", 
"??????????  ;1111111211  00", 
"??????????  ;1111111212  00", 
"??????????  ;1111111213  00", 
"??????????  ;1111111214  00", 
"??????????  ;1111111215  00", 
"??????????  ;1111111216  00", 
"??????????  ;1111111217  00", 
"??????????  ;1111111218  00", 
"??????????  ;1111111219  00", 
"??????????  ;1111111220  00", 
"??????????  ;1111111221  00", 
"??????????  ;1111111222  00", 
"??????????  ;1111111223  00", 
"??????????  ;1111111224  00", 
"??????????  ;1111111225  00", 
"??????????  ;1111111226  00", 
"??????????  ;1111111227  00", 
"??????????  ;1111111228  00", 
"??????????  ;1111111229  00", 
"??????????  ;1111111230  00", 
"??????????  ;1111111231  00", 
"??????????  ;1111111232  00", 
"??????????  ;1111111233  00", 
"??????????  ;1111111234  00", 
"??????????  ;1111111235  00", 
"??????????  ;1111111236  00", 
"??????????  ;1111111237  00", 
"??????????  ;1111111238  00", 
"??????????  ;1111111239  00", 
"??????????  ;1111111240  00", 
"??????????  ;1111111241  00", 
"??????????  ;1111111242  00", 
"??????????  ;1111111243  00", 
"??????????  ;1111111244  00", 
"??????????  ;1111111245  00", 
"??????????  ;1111111246  00", 
"??????????  ;1111111247  00", 
"??????????  ;1111111248  00", 
"??????????  ;1111111249  00", 
"??????????  ;1111111250  00", 
"??????????  ;1111111251  00", 
"??????????  ;1111111252  00", 
"??????????  ;1111111253  00", 
"??????????  ;1111111254  00", 
"??????????  ;1111111255  00", 
"??????????  ;1111111256  00", 
"??????????  ;1111111257  00", 
"??????????  ;1111111258  00", 
"??????????  ;1111111259  00", 
"??????????  ;1111111260  00", 
"??????????  ;1111111261  00", 
"??????????  ;1111111262  00", 
"??????????  ;1111111263  00", 
"??????????  ;1111111264  00", 
"??????????  ;1111111265  00", 
"??????????  ;1111111266  00", 
"??????????  ;1111111267  00", 
"??????????  ;1111111268  00", 
"??????????  ;1111111269  00", 
"??????????  ;1111111270  00", 
"??????????  ;1111111271  00", 
"??????????  ;1111111272  00", 
"??????????  ;1111111273  00", 
"??????????  ;1111111274  00", 
"??????????  ;1111111275  00", 
"??????????  ;1111111276  00", 
"??????????  ;1111111277  00", 
"??????????  ;1111111278  00", 
"??????????  ;1111111279  00", 
"??????????  ;1111111280  00", 
"??????????  ;1111111281  00", 
"??????????  ;1111111282  00", 
"??????????  ;1111111283  00", 
"??????????  ;1111111284  00", 
"??????????  ;1111111285  00", 
"??????????  ;1111111286  00", 
"??????????  ;1111111287  00", 
"??????????  ;1111111288  00", 
"??????????  ;1111111289  00", 
"??????????  ;1111111290  00", 
"??????????  ;1111111291  00", 
"??????????  ;1111111292  00", 
"??????????  ;1111111293  00", 
"??????????  ;1111111294  00", 
"??????????  ;1111111295  00", 
"??????????  ;1111111296  00", 
"??????????  ;1111111297  00", 
"??????????  ;1111111298  00", 
"??????????  ;1111111299  00", 
"??????????  ;1111111300  00", 
"??????????  ;1111111301  00", 
"??????????  ;1111111302  00", 
"??????????  ;1111111303  00", 
"??????????  ;1111111304  00", 
"??????????  ;1111111305  00", 
"??????????  ;1111111306  00", 
"??????????  ;1111111307  00", 
"??????????  ;1111111308  00", 
"??????????  ;1111111309  00", 
"??????????  ;1111111310  00", 
"??????????  ;1111111311  00", 
"??????????  ;1111111312  00", 
"??????????  ;1111111313  00", 
